Benchmark,Input Size,Threads,cycles,instructions,ins_per_cycle,cache_references,cache_misses,cache_misses_percent,branches_instructions,branch_misses,bus_cycles,ref_cycles,alignment_faults,bpf_output,cpu_clock,cpu_migrations,dummy,emulation_faults,major_faults,minor_faults,page_faults,LLC_loads,LLC_load_misses,LLC_misses_percent,LLC_stores,LLC_store_misses,LLC_store_misses_percent,time,user_time,sys_time
blackscholes,simsmall,1,608391881,799672423,1.31,13407294,249658,1.862,182761702,4233133,36513614,791860340,0,0,573.96,10,0,0,0,68834,68834,3516269,38496,0.010947967860251874,1827478,17944,0.009818996453035276,0.045,0.045,0.000
blackscholes,simsmall,2,613285680,843638606,1.38,12195702,160044,1.312,168391855,3784125,34012338,758971237,0,0,570.48,8,0,0,0,68962,68962,3694570,67825,0.01835802271982937,1609479,23698,0.014724019387640348,0.028,0.041,0.004
blackscholes,simsmall,3,589114098,741207237,1.26,13489042,180779,1.340,176132053,3480812,35890972,815086943,0,0,566.39,10,0,0,0,69213,69213,3675984,49159,0.013373017945671145,2073913,12890,0.006215304113528388,0.023,0.045,0.000
blackscholes,simsmall,4,618482742,782857432,1.27,14880753,108278,0.728,161508639,3595302,29664649,703637839,0,0,566.57,8,0,0,0,69537,69537,3437200,56251,0.01636535552193646,1541142,14428,0.009361888781176556,0.020,0.045,0.000
blackscholes,simsmall,5,628674972,910427711,1.45,12563987,97149,0.773,165128713,3747639,31761139,714396255,0,0,565.78,4,0,0,0,68883,68883,3492683,41503,0.011882841929828731,2150103,17838,0.008296346733156504,0.019,0.046,0.000
blackscholes,simsmall,6,552463928,691352719,1.25,13295686,133228,1.002,154305594,3514500,32879691,811721954,0,0,565.39,5,0,0,0,69615,69615,3364902,31748,0.00943504446786266,2363735,10432,0.004413354288869099,0.017,0.046,0.000
blackscholes,simsmall,7,535891423,648287881,1.21,12398209,101270,0.817,147445605,3281698,32376053,873920089,0,0,574.82,10,0,0,0,70451,70451,3932386,55427,0.014095004915590688,2230231,27086,0.012144930278522719,0.017,0.043,0.004
blackscholes,simsmall,8,581298564,712828950,1.23,13839815,167662,1.211,183125604,3545774,35281037,775838342,0,0,570.75,8,0,0,0,69477,69477,3659213,28412,0.007764511112088856,1809426,20319,0.011229528038173432,0.016,0.046,0.000
blackscholes,simsmall,9,500992258,623374615,1.24,12549162,218863,1.744,168397748,3890747,36845854,838432142,0,0,574.64,13,0,0,0,69496,69496,3540199,49940,0.01410655163735146,1980616,23898,0.012065943120726078,0.016,0.046,0.000
blackscholes,simsmall,10,600528344,864633928,1.44,11052705,165321,1.496,158406136,3543468,28629891,735597735,0,0,574.23,11,0,0,0,70121,70121,3792086,62903,0.01658796767794823,2041330,30009,0.014700709831335453,0.016,0.047,0.000
blackscholes,simsmall,11,632242524,924848347,1.46,13437461,118818,0.884,175004425,3591217,33562286,701393411,0,0,569.35,7,0,0,0,69887,69887,3350458,42234,0.012605440808390973,2076960,19933,0.009597199753485865,0.015,0.043,0.003
blackscholes,simsmall,12,568082312,700480103,1.23,13950907,228658,1.639,170701354,3810354,35624052,808564531,0,0,573.89,13,0,0,0,69163,69163,3320831,39414,0.011868715993075228,2140385,23806,0.011122298091231251,0.015,0.039,0.008
blackscholes,simsmall,13,564321524,699971466,1.24,13309243,322871,2.426,157897886,3635802,32387640,741925059,0,0,576.92,21,0,0,0,69270,69270,3519664,76038,0.021603766723187215,2132398,32004,0.01500845526960727,0.015,0.047,0.000
