dTLB-loads,time,branch-load-misses,L1-dcache-load-misses,cpu-used,p
1474918765,0.17,15884552,35340541,1.331,0.15
1298296555,0.096,15376675,35716092,1.195,0.15
1440048177,0.072,16049791,30699263,1.392,0.15
1355002190,0.06,15515069,33251076,1.282,0.15
1404179600,0.053,17236526,30187700,1.434,0.15
1065229362,0.048,15295512,27705577,1.13,0.15
1104672235,0.044,16118444,33486995,1.151,0.15
1186633697,0.042,14375117,33559272,1.174,0.15
1120986795,0.04,14881286,32869753,1.136,0.15
1239659445,0.038,16157519,34908065,1.247,0.15
1104783924,0.037,15768467,36994527,1.168,0.15
1638635082,0.036,15057178,35501476,1.49,0.15
1458198180,0.035,15616472,32520439,1.408,0.15
1157206612,0.034,16207921,33772655,1.174,0.15
1100944777,0.034,14080095,32951947,1.159,0.15
1153785533,0.033,14388017,31487515,1.214,0.15
1551378219,0.658,22075902,37556704,1.119,0.56
1427660487,0.365,21639648,33992470,1.212,0.56
1494595434,0.27,20063880,34378183,1.331,0.56
1748626407,0.189,19156940,34258406,1.503,0.56
1466600772,0.19,17751907,36278353,1.274,0.56
1568211560,0.15,20004170,33367678,1.412,0.56
1534306971,0.155,17008735,40046000,1.357,0.56
1385314688,0.13,18293363,36778732,1.306,0.56
1859147077,0.138,16314187,37321025,1.565,0.56
1507471685,0.13,16162598,37526935,1.329,0.56
1394350583,0.125,17513212,35914639,1.322,0.56
1556893018,0.121,18559085,29544837,1.475,0.56
1409659798,0.117,17974769,33998274,1.393,0.56
1725732848,0.114,15184164,38735824,1.479,0.56
1512194036,0.11,17558746,32464200,1.452,0.56
1394585106,0.109,17198234,34693387,1.35,0.56
2714996993,2.173,28225863,53682593,1.04,2.22
2720544727,1.446,33533955,56805605,1.353,2.22
2815936640,1.019,26517404,58824646,1.484,2.22
2709035462,0.853,25390622,56980599,1.608,2.22
2654086118,0.734,26250346,54388712,1.681,2.22
2787769918,0.655,25592377,51099840,1.839,2.22
3119759230,0.6,23752475,56896880,1.987,2.22
2766881089,0.582,23644557,52931436,1.774,2.22
2677340491,0.526,25976918,55776268,1.841,2.22
2779328374,0.501,22775013,51782392,1.944,2.22
3223137268,0.479,21953516,54203545,2.143,2.22
2562331663,0.459,22385960,55420945,1.854,2.22
2709436163,0.445,22231868,56627685,1.892,2.22
2701192396,0.428,21917902,53448418,1.898,2.22
2973937509,0.422,24186261,54743959,2.123,2.22
2852196664,0.396,20666419,56016138,1.99,2.22
1743673105,0.513,16342833,41513765,1.14,0.45
1556609465,0.315,15998556,47070823,1.174,0.45
1540580814,0.249,18085855,36187644,1.243,0.45
1345398561,0.223,15791091,39289232,1.178,0.45
1652830607,0.206,17318031,42367346,1.348,0.45
1625839376,0.195,14590967,49451633,1.275,0.45
1533139293,0.189,15440356,44757246,1.227,0.45
1465988110,0.185,17134526,40136232,1.313,0.45
1558034601,0.18,16686048,36300039,1.405,0.45
1440772030,0.177,16149126,40030889,1.192,0.45
1780439559,0.174,15385706,37052108,1.518,0.45
1474136472,0.174,15862419,39164915,1.219,0.45
1704289629,0.176,14581405,50350576,1.343,0.45
1537947561,0.172,14264399,46249248,1.256,0.45
1422316419,0.188,19103378,41818590,1.266,0.45
1503510090,0.176,14519050,42989554,1.269,0.45
2047106118,1.419,19157029,67769924,0.977,1.31
2207068009,0.847,19216198,71327977,1.246,1.31
2221982667,0.63,18694802,70192867,1.365,1.31
2536144476,0.518,23489783,72119926,1.599,1.31
2022075187,0.465,18542035,68205283,1.435,1.31
2411327335,0.428,18700730,67423870,1.597,1.31
2355042254,0.399,18854940,60882093,1.625,1.31
2030608567,0.396,20817835,65626268,1.576,1.31
2510500736,0.376,18748657,69521565,1.783,1.31
2513477998,0.36,17809411,69244350,1.783,1.31
2361390341,0.351,19604774,75546493,1.67,1.31
2022764917,0.352,19685592,68622082,1.609,1.31
2692886845,0.337,18610409,71129776,1.865,1.31
2410659564,0.339,21960753,62680701,1.834,1.31
2087354732,0.321,20242159,64980967,1.647,1.31
2272484816,0.319,21547504,69578184,1.767,1.31
4944142351,4.724,29717867,161398168,1.028,4.49
4665220739,2.698,30280637,158184645,1.479,4.49
4606038761,1.876,32593405,163832051,1.753,4.49
4611824187,1.521,28753026,161994681,1.948,4.49
4658675783,1.306,32126682,166046639,2.09,4.49
4718600165,1.177,31765003,162009955,2.223,4.49
4664393305,1.055,32128414,160483231,2.298,4.49
5039758896,1.017,32677923,163039634,2.501,4.49
4737856978,0.96,30801981,162892014,2.54,4.49
4617540067,0.92,30401176,152530377,2.551,4.49
5129883385,0.874,31218679,163520670,2.719,4.49
4778346013,0.847,29448541,146293266,2.718,4.49
4871290127,0.835,30295375,163976834,2.717,4.49
5008733697,0.819,33422997,167686063,2.892,4.49
4528761086,0.799,29446770,157407028,2.83,4.49
4525568562,0.77,29593026,157458946,2.836,4.49
1936606063,1.981,32599962,77809145,1.018,0.95
1876877800,1.659,35623636,70054277,1.128,0.95
2489149603,1.643,37972128,82380023,1.326,0.95
2304013852,1.63,41783679,77140564,1.322,0.95
2232925623,1.518,36657294,75494586,1.299,0.95
2140845058,1.589,44961993,74442065,1.295,0.95
1883665456,1.79,49880765,74065974,1.243,0.95
1992633665,1.684,50398162,73567528,1.263,0.95
2296329855,1.565,39811159,79794325,1.326,0.95
2729216664,1.442,34184371,79916960,1.502,0.95
1912232469,1.636,45420493,79089350,1.215,0.95
2232071364,1.473,35776105,79903599,1.375,0.95
1895606684,1.46,37837187,72704916,1.263,0.95
2104416027,1.439,31791298,78746074,1.269,0.95
2465598632,1.507,39543582,74092620,1.483,0.95
1909254077,1.647,54417679,68264457,1.249,0.95
3387178184,5.268,62400217,133507369,1.072,2.53
3616870265,4.468,63801914,136060262,1.287,2.53
3240192242,3.801,57270018,130526601,1.314,2.53
3093024229,3.957,59513879,132812360,1.306,2.53
3495250388,3.547,59385953,137607984,1.412,2.53
2997921443,4.033,71085317,134644149,1.32,2.53
3145837443,3.374,58558643,135594554,1.371,2.53
3534291499,3.395,58570011,135312249,1.517,2.53
3135701674,3.756,88108482,134606617,1.373,2.53
3054896493,3.311,55727713,133803823,1.427,2.53
3165114958,3.299,59544996,131617253,1.472,2.53
3528388991,3.751,90778738,132014065,1.464,2.53
3421225744,3.688,87249443,127692119,1.473,2.53
3139043510,3.254,58993374,128316831,1.464,2.53
3164969085,3.342,56477178,137595847,1.438,2.53
3051526535,3.879,72222717,137167322,1.399,2.53
5574130822,12.254,97760924,269221550,1.0,5.87
5477410303,9.944,117208850,257410451,1.251,5.87
5515653328,8.699,100070529,247391151,1.351,5.87
5430600283,9.551,96606657,259171887,1.342,5.87
5408856007,7.959,100882190,252710771,1.453,5.87
5850046212,7.995,120245256,254777874,1.505,5.87
5693865616,7.566,98185909,251042774,1.544,5.87
5450452730,7.526,98483179,261568317,1.533,5.87
5778106084,9.001,110541142,252376196,1.475,5.87
5320859433,7.361,104217587,249912420,1.532,5.87
5947643882,7.596,95165377,256333940,1.565,5.87
5331278711,7.318,105716057,255077766,1.534,5.87
5407816305,7.216,94141878,246502102,1.534,5.87
