cache-misses,time,branch-load-misses,dTLB-load-misses,cpu-cycles,L1-icache-load-misses,s
15449656,0.17,15884552,890791,5042954127,32852357,0.02
12229722,0.096,15376675,691644,4340093839,39498440,0.02
14331050,0.072,16049791,906193,4982218435,31093658,0.02
13670191,0.06,15515069,817096,4535489921,32534246,0.02
12969822,0.053,17236526,962960,4951607442,26917772,0.02
14179093,0.048,15295512,910601,3874444932,32299292,0.02
11790839,0.044,16118444,807253,3994035612,33570537,0.02
15255685,0.042,14375117,729436,4062256292,31616925,0.02
14057646,0.04,14881286,736163,3957706776,33620947,0.02
13495818,0.038,16157519,869023,4280606389,26230212,0.02
13776101,0.037,15768467,769300,4045084227,31806243,0.02
14303954,0.036,15057178,855266,5183663255,30102010,0.02
12556252,0.035,15616472,797394,4758937325,40631824,0.02
12516012,0.034,16207921,958456,4044688500,29475084,0.02
13320015,0.034,14080095,874814,3958523386,31054563,0.02
12984927,0.033,14388017,792562,4120335546,31981090,0.02
13586144,0.658,22075902,798858,5479273992,32991301,0.07
11862829,0.365,21639648,906388,5160474846,37738613,0.07
11144138,0.27,20063880,870609,5224180961,35569955,0.07
12488035,0.189,19156940,787718,5719864234,31034709,0.07
13406422,0.19,17751907,720517,4983977211,35680298,0.07
12750388,0.15,20004170,921332,5373155118,31470241,0.07
14159527,0.155,17008735,741960,5160137145,30269405,0.07
12329909,0.13,18293363,803951,4850082826,33528286,0.07
15242518,0.138,16314187,738926,5837592177,32720302,0.07
13008816,0.13,16162598,707211,4974187255,34618259,0.07
13462622,0.125,17513212,967021,4878570311,33131929,0.07
14512056,0.121,18559085,1029344,5421454513,32992947,0.07
11552467,0.117,17974769,987619,5063442651,35850057,0.07
13212500,0.114,15184164,682690,5466593348,36597602,0.07
12187225,0.11,17558746,1001076,5282696212,34089207,0.07
13154525,0.109,17198234,929067,4931415746,34219527,0.07
13846804,2.173,28225863,906554,9002840450,40660189,0.27
12463567,1.446,33533955,777696,9440295831,49548326,0.27
14101156,1.019,26517404,699117,9284199007,41900001,0.27
13383033,0.853,25390622,828209,9034650424,46341108,0.27
13306780,0.734,26250346,801442,8934114412,37291231,0.27
13799312,0.655,25592377,895093,9378113925,34900451,0.27
15060500,0.6,23752475,821247,9894844918,30944738,0.27
14533333,0.582,23644557,809261,9025306437,35649032,0.27
14559682,0.526,25976918,844542,8874865697,39168056,0.27
15614315,0.501,22775013,874352,9175944759,30809611,0.27
