LLC_loads,page_faults,Input Size,cpu_migrations,LLC_load_misses,cache_references,cycles,instructions,bus_cycles,ref_cycles,LLC_store_misses_percent,minor_faults,cpu_clock,branch_misses,branches_instructions,time,user_time,sys_time
3586395,69534,0,7,67890,13221057,521324755,668243892,35970429,818766563,1.620721289926314,69534,574.21,3953952,174052847,0.045,0.045,0.0
3756986,69530,0,14,83124,13201504,604087463,745514225,37409896,841124296,2.426790801659158,69530,577.19,3571920,179328504,0.028,0.045,0.0
3291078,69493,0,9,25693,14204116,540727036,676803235,34805980,812634023,0.6507131998247224,69493,568.43,3778572,177831187,0.023,0.045,0.0
3594115,70120,0,12,79537,13690247,568738331,689568815,35174945,821102519,1.131704315938169,70120,576.27,3799148,155514994,0.021,0.046,0.0
3211251,69519,0,7,54678,12650468,506534749,642433245,32651255,747611320,0.4118992369324047,69519,568.37,3605267,149658203,0.018,0.045,0.0
3341347,69534,0,4,33722,14225200,604751489,722122165,32633658,798745769,0.5634532458184228,69534,571.83,3410858,148818478,0.017,0.046,0.0
3973296,69607,0,9,55284,13533118,624162392,751139561,33801679,812326411,1.0282106238776574,69607,574.12,3584732,155529082,0.018,0.047,0.0
3874361,69163,0,4,56448,12727994,615355510,799465586,31657160,786942733,1.4671181882172486,69163,569.9,3376946,149285148,0.016,0.046,0.0
3607581,69532,0,6,73411,13443205,533709736,687978826,33251005,824021257,0.5880853964860491,69532,573.63,3876464,161076323,0.016,0.035,0.012
3738889,70150,0,18,88101,12238782,627251174,873982551,29367567,705164098,1.3260839867763174,70150,578.78,3776283,169865034,0.016,0.043,0.004
3281679,69824,0,10,47570,14161510,666933726,869950155,31669229,656358404,1.863402972371876,69824,574.95,3233860,172851427,0.015,0.039,0.009
3611939,69477,0,12,50570,12093394,524963958,621652698,30782494,746678384,0.6707341317679345,69477,571.69,3169317,139987295,0.015,0.047,0.0
3713099,69562,0,6,53694,12436347,514305229,656256267,34747639,825051666,0.7427593167004699,69562,571.99,3764163,162428532,0.015,0.048,0.0
3556753,70171,0,6,69829,13097526,504869548,672081333,32214928,791517433,0.851717011667392,70171,575.76,3747952,162512216,0.015,0.045,0.003
3532386,69564,0,13,55241,13463268,655200294,864218246,31159155,713271201,1.731261375178289,69564,576.05,3686658,173699070,0.015,0.038,0.009
3736645,69690,0,10,70807,13313640,542756599,658241369,33778631,792598705,1.6272650078167563,69690,583.2,3722669,161821820,0.015,0.042,0.005
3558394,69175,1,18,88285,16728359,895134851,1228754132,47106726,1062990715,2.458595958174749,69175,712.41,4453249,252648682,0.178,0.17,0.008
3935901,69650,1,9,67583,16564814,1002214726,1291525624,41785210,1006203556,2.401856576295673,69650,710.65,4241264,226462235,0.11,0.178,0.0
3456205,70097,1,10,33437,14869482,732899553,1080484120,40738890,937759471,0.6703164931280894,70097,708.77,3968569,211837952,0.088,0.17,0.008
3779498,69067,1,8,66135,12160384,611285407,938682985,47552369,1106862941,0.5472178198293721,69066,702.93,4119357,206128596,0.076,0.178,0.0
3595814,70334,1,14,74933,16110846,872410312,1201997290,42542304,1029849407,1.1540445234811303,70334,717.13,3920388,235157757,0.069,0.178,0.0
