benchmarks,input-size,threads,branch-instructions,branch-misses,cache-misses,cache-misses-percent,cache-references,cpu-cycles,instructions,instructions_per_cycle,idle-cycles-backend,idle-cycles-backend-percent,idle-cycles-frontend,idle-cycles-frontend-percent,context-switches,cpu-clock,cpu-used,cpu-migrations,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-load-misses-percent,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-load-misses-percent,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-load-misses-percent,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-load-misses-percent,dTLB-loads,iTLB-load-misses,iTLB-load-misses-percent,iTLB-loads,time,user-time,sys-time,Speedup
0,0,1,701055975,17648466,15449656,17.748,87049472,5042954127,3103700755,0.62,1446518053,28.68,1228273497,24.36,9493,2.26851,1.331,936,0,133429,133431,2.2746500000000003,35340541,2.45,1440859989,8500,28757420,32852357,2.17,1512684654,246315,11257331,16.34,68909745,20733120,15884552,774390542,890791,0.06,1474918765,327446,0.02,1420493334,0.17,0.163,0.002,0.9794117647058823
0,0,2,622592409,14137300,12229722,15.963,76615020,4340093839,2561838937,0.59,1407625957,32.43,1123813683,25.89,5415,1.89602,1.195,922,0,133392,133393,1.90247,35716092,2.97,1204162498,3190,36644738,39498440,3.5,1129860292,329163,15515636,20.51,75647646,18229363,15376675,651504951,691644,0.05,1298296555,253387,0.02,1207726784,0.096,0.143,0.005,1.734375
0,0,3,679821950,16405040,14331050,17.153,83550042,4982218435,2910966912,0.58,1236999614,24.83,992480489,19.92,9371,2.22447,1.392,908,0,133077,133079,2.23073,30699263,1.93,1593171248,4576,31209811,31093658,2.1,1477703573,268455,11651187,15.27,76320588,19834727,16049791,713068555,906193,0.06,1440048177,298539,0.02,1371134948,0.072,0.137,0.005,2.3125000000000004
0,0,4,608419902,15653840,13670191,16.563,82536467,4535489921,2579612509,0.57,1307797937,28.83,1066940812,23.52,6044,2.00415,1.282,917,0,133514,133515,2.0105,33251076,2.57,1295910258,8162,32098771,32534246,2.5,1301393436,265760,12180226,17.52,69539754,19624816,15515069,666811961,817096,0.06,1355002190,321999,0.03,1276636211,0.06,0.135,0.005,2.7750000000000004
0,0,5,695480038,16147308,12969822,17.499,74118348,4951607442,3031154287,0.61,1174812607,23.73,956283296,19.31,8285,2.23095,1.434,905,0,133228,133229,2.23717,30187700,1.92,1574108763,4915,30417393,26917772,1.8,1498956255,272590,14059720,17.11,82186346,23549588,17236526,639766967,962960,0.07,1404179600,317051,0.02,1362047764,0.053,0.134,0.004,3.1415094339622645
0,0,6,412627929,16271486,14179093,17.218,82350244,3874444932,2237466680,0.58,1159710923,29.93,852689252,22.01,3955,1.7213900000000002,1.13,891,0,133188,133189,1.72763,27705577,2.44,1136911328,4560,31092942,32299292,3.18,1017011906,321514,12694413,17.1,74224771,20916790,15295512,456370809,910601,0.09,1065229362,301542,0.03,1005666110,0.048,0.133,0.005,3.46875
0,0,7,506879686,14214673,11790839,16.395,71918691,3994035612,2389271770,0.6,1261721649,31.59,1003255302,25.12,4672,1.7568800000000002,1.151,910,0,133176,133178,1.76347,33486995,2.82,1186367656,3464,34947033,33570537,3.14,1069076151,369825,12850056,16.32,78755120,21158838,16118444,427755174,807253,0.07,1104672235,272659,0.03,1080795415,0.044,0.131,0.006,3.7840909090909096
0,0,8,500226552,17331771,15255685,16.927,90125345,4062256292,2445372098,0.6,1388699793,34.19,1035876288,25.5,4909,1.78542,1.174,898,0,132878,132879,1.79171,33559272,2.87,1170390253,3878,35198221,31616925,3.13,1011538642,315114,11053859,17.6,62808463,15914927,14375117,589867164,729436,0.06,1186633697,302628,0.03,1142917853,0.042,0.132,0.006,3.9642857142857144
0,0,9,500649022,15237079,14057646,16.53,85040838,3957706776,2465329388,0.62,1423738437,35.97,964734990,24.38,4475,1.72069,1.136,951,0,132833,132834,1.72711,32869753,2.99,1098899525,6681,32636779,33620947,3.26,1032881400,309061,14151374,18.77,75389294,19621796,14881286,498865515,736163,0.07,1120986795,264954,0.02,1074193127,0.04,0.131,0.006,4.1625000000000005
0,0,10,487013370,14664398,13495818,15.896,84902621,4280606389,2444954217,0.57,1355019534,31.65,1253422725,29.28,5479,1.90315,1.247,937,0,133160,133162,1.90967,34908065,2.93,1189941622,4910,28718470,26230212,1.98,1326551950,260603,11736394,16.67,70391114,20350592,16157519,556225920,869023,0.07,1239659445,300134,0.03,1097633002,0.038,0.13,0.007,4.381578947368421
0,0,11,521605883,14760704,13776101,18.425,74766826,4045084227,2398665561,0.59,1155373031,28.56,1032898779,25.53,4563,1.78203,1.168,926,0,133254,133255,1.78847,36994527,3.05,1213889075,3075,35813851,31806243,3.13,1017493016,287999,12376873,16.19,76448252,20337320,15768467,426582732,769300,0.07,1104783924,265059,0.02,1106312711,0.037,0.132,0.005,4.500000000000001
0,0,12,900069659,14766492,14303954,16.799,85147634,5183663255,3198333912,0.62,1543112412,29.77,1069750591,20.64,8383,2.32456,1.49,925,0,133352,133353,2.3308,35501476,2.29,1552860827,5257,32206158,30102010,1.79,1681373986,247988,13388709,18.32,73075420,22648822,15057178,876655603,855266,0.05,1638635082,291778,0.02,1613509852,0.036,0.13,0.008,4.625000000000001
0,0,13,761375076,13947096,12556252,17.892,70177244,4758937325,3059449175,0.64,1063637744,22.35,962046445,20.22,6619,2.16272,1.408,932,0,133093,133094,2.16908,32520439,2.16,1504652652,4048,36808174,40631824,2.89,1405152212,286914,14154949,17.57,80554745,21665076,15616472,660586079,797394,0.05,1458198180,282497,0.02,1406444580,0.035,0.127,0.011,4.757142857142857
0,0,14,443067388,14150411,12516012,16.576,75506218,4044688500,2312123579,0.57,1292047410,31.94,1176000306,29.08,4663,1.78625,1.174,906,0,133218,133220,1.79281,33772655,3.05,1106673759,3996,30831564,29475084,2.49,1181445913,278223,13004656,17.78,73127850,21056159,16207921,507181265,958456,0.08,1157206612,309779,0.03,1022055313,0.034,0.128,0.01,4.897058823529411
0,0,15,441447641,14923748,13320015,17.892,74447880,3958523386,2183484731,0.55,1000690872,25.28,1025261169,25.9,4534,1.75472,1.159,930,0,132901,132902,1.76131,32951947,2.74,1203640720,3792,36863968,31054563,3.05,1019409009,295844,11085772,15.65,70831788,16971055,14080095,434562996,874814,0.08,1100944777,301037,0.03,1031691650,0.034,0.125,0.013,4.897058823529411
0,0,16,492611979,15739039,12984927,17.988,72187312,4120335546,2522336313,0.61,1079062935,26.19,987848107,23.97,4197,1.84624,1.214,940,0,133229,133230,1.8525,31487515,2.5,1261271411,4197,34468388,31981090,2.88,1109387799,327621,12881892,17.46,73781777,16700376,14388017,444203996,792562,0.07,1153785533,303020,0.03,1101396839,0.033,0.13,0.008,5.045454545454546
0,1,1,592131927,24710800,13586144,13.478,100803461,5479273992,3123993259,0.57,2039966981,37.23,1309371623,23.9,5636,2.40848,1.119,895,0,133342,133344,2.41479,37556704,2.48,1516912086,4682,35301538,32991301,2.16,1526371327,256361,11345227,16.03,70764028,17960274,22075902,693939293,798858,0.05,1551378219,267819,0.02,1326893396,0.658,0.645,0.005,0.9565349544072949
0,1,2,642454299,18569979,11862829,15.343,77315487,5160474846,3351274158,0.65,1791994494,34.73,1009055534,19.55,4425,2.26331,1.212,903,0,133441,133442,2.2698400000000003,33992470,2.16,1577138469,3846,35663900,37738613,3.03,1245726303,341266,13571753,16.04,84634723,23457456,21639648,530953141,906388,0.06,1427660487,305311,0.02,1330534590,0.365,0.578,0.005,1.7243835616438359
0,1,3,698950114,17301344,11144138,15.134,73634318,5224180961,3412080615,0.65,1680391016,32.17,1053806416,20.17,5458,2.3385,1.331,902,0,133014,133015,2.34478,34378183,2.12,1619946005,4238,37221096,35569955,2.55,1395112080,320072,11984513,13.61,88040249,19368345,20063880,561349901,870609,0.06,1494595434,304954,0.02,1374887939,0.27,0.553,0.006,2.3311111111111114
0,1,4,900928471,16520551,12488035,15.357,81320821,5719864234,3758822866,0.66,1727614582,30.2,943252781,16.49,8356,2.55051,1.503,954,0,133032,133033,2.55706,34258406,1.81,1887984642,4612,34560779,31034709,1.99,1561938634,349584,11815085,13.16,89802098,20263545,19156940,743297661,787718,0.05,1748626407,309299,0.02,1692028965,0.189,0.512,0.004,3.3301587301587303
0,1,5,605500374,16284806,13406422,16.156,82983611,4983977211,3316875928,0.67,1969951944,39.53,1011876972,20.3,4485,2.1491,1.274,1013,0,133368,133369,2.15541,36278353,2.44,1489129297,2933,35197452,35680298,2.86,1247760441,299098,15144059,17.19,88100737,21736040,17751907,606943403,720517,0.05,1466600772,267883,0.02,1286152282,0.19,0.533,0.008,3.312631578947369
0,1,6,760792001,15883153,12750388,16.966,75154445,5373155118,3625480137,0.67,1780827510,33.14,899903465,16.75,4463,2.38081,1.412,933,0,133035,133036,2.38722,33367678,1.9,1755111315,4080,34005808,31470241,2.16,1454480518,306435,14513280,16.57,87605829,22824218,20004170,617594301,921332,0.06,1568211560,313398,0.02,1507228374,0.15,0.508,0.008,4.196000000000001
0,1,7,588057008,17702827,14159527,15.614,90687107,5160137145,3384028989,0.66,1932588073,37.45,1144475073,22.18,4304,2.24587,1.357,1025,0,133365,133366,2.25268,40046000,2.73,1466281887,2847,35908547,30269405,2.19,1383305385,246839,11283624,15.88,71066672,19037475,17008735,668693554,741960,0.05,1534306971,293711,0.02,1312104107,0.155,0.522,0.01,4.060645161290323
0,1,8,614445991,14892533,12329909,16.311,75593628,4850082826,3292294173,0.68,1850354926,38.15,982339824,20.25,4352,2.1147600000000004,1.306,952,0,133039,133040,2.12123,36778732,2.45,1504181529,3040,37358020,33528286,2.63,1275886516,331665,13507100,16.08,84008029,22803541,18293363,508028099,803951,0.06,1385314688,274752,0.02,1269875981,0.13,0.511,0.005,4.841538461538462
0,1,9,844962845,17220489,15242518,16.477,92509518,5837592177,3660338924,0.63,2114793404,36.23,1266926855,21.7,5527,2.5825500000000003,1.565,976,0,133567,133568,2.58919,37321025,2.18,1713838841,7139,34442371,32720302,1.9,1718337924,250047,11676398,15.57,75016548,18370723,16314187,928214069,738926,0.04,1859147077,300549,0.02,1637020776,0.138,0.52,0.012,4.560869565217391
