L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
2.17,0.02,1512684654,2.27,3103700755,1420493334,5042954127,1474918765,1440859989,0.16,2.27,0
3.5,0.02,1129860292,1.9,2561838937,1207726784,4340093839,1298296555,1204162498,0.14,1.9,0
2.1,0.02,1477703573,2.22,2910966912,1371134948,4982218435,1440048177,1593171248,0.14,2.23,0
2.5,0.03,1301393436,2.0,2579612509,1276636211,4535489921,1355002190,1295910258,0.14,2.01,0
1.8,0.02,1498956255,2.23,3031154287,1362047764,4951607442,1404179600,1574108763,0.13,2.24,0
3.18,0.03,1017011906,1.72,2237466680,1005666110,3874444932,1065229362,1136911328,0.13,1.73,0
3.14,0.03,1069076151,1.76,2389271770,1080795415,3994035612,1104672235,1186367656,0.13,1.76,0
3.13,0.03,1011538642,1.79,2445372098,1142917853,4062256292,1186633697,1170390253,0.13,1.79,0
3.26,0.02,1032881400,1.72,2465329388,1074193127,3957706776,1120986795,1098899525,0.13,1.73,0
1.98,0.03,1326551950,1.9,2444954217,1097633002,4280606389,1239659445,1189941622,0.13,1.91,0
3.13,0.02,1017493016,1.78,2398665561,1106312711,4045084227,1104783924,1213889075,0.13,1.79,0
1.79,0.02,1681373986,2.32,3198333912,1613509852,5183663255,1638635082,1552860827,0.13,2.33,0
2.89,0.02,1405152212,2.16,3059449175,1406444580,4758937325,1458198180,1504652652,0.13,2.17,0
2.49,0.03,1181445913,1.79,2312123579,1022055313,4044688500,1157206612,1106673759,0.13,1.79,0
3.05,0.03,1019409009,1.75,2183484731,1031691650,3958523386,1100944777,1203640720,0.12,1.76,0
2.88,0.03,1109387799,1.85,2522336313,1101396839,4120335546,1153785533,1261271411,0.13,1.85,0
2.16,0.02,1526371327,2.41,3123993259,1326893396,5479273992,1551378219,1516912086,0.64,2.41,1
3.03,0.02,1245726303,2.26,3351274158,1330534590,5160474846,1427660487,1577138469,0.58,2.27,1
2.55,0.02,1395112080,2.34,3412080615,1374887939,5224180961,1494595434,1619946005,0.55,2.34,1
1.99,0.02,1561938634,2.55,3758822866,1692028965,5719864234,1748626407,1887984642,0.51,2.56,1
2.86,0.02,1247760441,2.15,3316875928,1286152282,4983977211,1466600772,1489129297,0.53,2.16,1
2.16,0.02,1454480518,2.38,3625480137,1507228374,5373155118,1568211560,1755111315,0.51,2.39,1
2.19,0.02,1383305385,2.25,3384028989,1312104107,5160137145,1534306971,1466281887,0.52,2.25,1
2.63,0.02,1275886516,2.11,3292294173,1269875981,4850082826,1385314688,1504181529,0.51,2.12,1
1.9,0.02,1718337924,2.58,3660338924,1637020776,5837592177,1859147077,1713838841,0.52,2.59,1
2.79,0.02,1240526365,2.16,3468064866,1283766818,4974187255,1507471685,1499448173,0.51,2.17,1
2.6,0.03,1273727129,2.14,3103245669,1168759242,4878570311,1394350583,1478334960,0.52,2.15,1
